year,CO2,OBL,dT,ICE
-120,273,-999,-0.03,-999
-119,271.25,-999,-0.15,-999
-118,269.5,-999,-0.27,-999
-117,267.75,-999,-0.39,-999
-116,266,-999,-0.51,-999
-115,268,-999,-0.64,-999
-114,270,-999,-0.76,-999
-113,272,-999,-0.88,-999
-112,274,-999,-1,-999
-111,268.75,-999,-1.24,-999
-110,263.5,-999,-1.47,-999
-109,258.25,-999,-1.71,-999
-108,253,-999,-1.94,-999
-107,247.75,-999,-2.04,-999
-106,242.5,-999,-2.15,-999
-105,237.25,-999,-2.25,-999
-104,232,-999,-2.36,-999
-103,231.75,-999,-2.23,-999
-102,231.5,-999,-2.11,-999
-101,231.25,-999,-1.99,-999
-100,231,-999,-1.87,-999
-99,230.75,-999,-1.82,-999
-98,230.5,-999,-1.77,-999
-97,230.25,-999,-1.72,-999
-96,230,-999,-1.67,-999
-95,229.75,-999,-1.7,-999
-94,229.5,-999,-1.73,-999
-93,229.25,-999,-1.76,-999
-92,229,-999,-1.79,-999
-91,224.5,-999,-2.02,-999
-90,220,-999,-2.24,-999
-89,215.5,-999,-2.47,-999
-88,211,-999,-2.7,-999
-87,217.75,-999,-2.56,-999
-86,224.5,-999,-2.43,-999
-85,231.25,-999,-2.29,-999
-84,238,-999,-2.15,-999
-83,234.5,-999,-2.25,-999
-82,231,-999,-2.34,-999
-81,227.5,-999,-2.43,-999
-80,224,-999,-2.53,-999
-79,221,-999,-2.6,-999
-78,218,-999,-2.67,-999
-77,221,-999,-2.71,-999
-76,224,-999,-2.76,-999
-75,226.5,-999,-2.59,-999
-74,229,-999,-2.42,-999
-73,226,-999,-2.61,-999
-72,223,-999,-2.8,-999
-71,217,-999,-3.06,-999
-70,211,-999,-3.32,-999
-69,204.5,-999,-3.78,-999
-68,198,-999,-4.25,-999
-67,195.5,-999,-4.52,-999
-66,193,-999,-4.79,-999
-65,197.5,-999,-4.7,-999
-64,202,-999,-4.62,-999
-63,202,-999,-4.55,-999
-62,202,-999,-4.49,-999
-61,207.5,-999,-4.12,-999
-60,213,-999,-3.76,-999
-59,216,-999,-3.45,-999
-58,219,-999,-3.15,-999
-57,219,-999,-3.15,-999
-56,219,-999,-3.14,-999
-55,216,-999,-3.19,-999
-54,213,-999,-3.24,-999
-53,211.5,-999,-3.2,-999
-52,210,-999,-3.17,-999
-51,214,-999,-3.18,-999
-50,218,-999,-3.19,-999
-49,210,-999,-3.38,-999
-48,202,-999,-3.57,-999
-47,204.5,-999,-3.35,-999
-46,207,-999,-3.14,-999
-45,209,-999,-3.26,-999
-44,211,-999,-3.38,-999
-43,206.5,-999,-3.7,-999
-42,202,-999,-4.03,-999
-41,199.5,-999,-4.15,-999
-40,197,-999,-4.28,-999
-39,204,-999,-4.12,-999
-38,211,-999,-3.97,-999
-37,209.5,-999,-4.17,-999
-36,208,-999,-4.37,-999
-35,206.5,-999,-4.46,-999
-34,205,-999,-4.55,-999
-33,203,-999,-4.48,-999
-32,201,-999,-4.4,-999
-31,200.5,-999,-4.44,-999
-30,200,-999,-4.48,-999
-29,200,-999,-4.69,-999
-28,200,-999,-4.89,-999
-27,196.5,-999,-5.12,-999
-26,193,-999,-5.35,-999
-25,194,-999,-5.24,-999
-24,195,-999,-5.13,-999
-23,190,-999,-5.23,-999
-22,185,-999,-5.32,-999
-21,186,-999,-5.19,-999
-20,188,-999,-5.19,-999
-19,188,-999,-5.08,-999
