year,value
0,-0.03
1,-0.15
2,-0.27
3,-0.39
4,-0.51
5,-0.64
6,-0.76
7,-0.88
8,-1.0
9,-1.24
10,-1.47
11,-1.71
12,-1.94
13,-2.04
14,-2.15
15,-2.25
16,-2.36
17,-2.23
18,-2.11
19,-1.99
20,-1.87
21,-1.82
22,-1.77
23,-1.72
24,-1.67
25,-1.7
26,-1.73
27,-1.76
28,-1.79
29,-2.02
30,-2.24
31,-2.47
32,-2.7
33,-2.56
34,-2.43
35,-2.29
36,-2.15
37,-2.25
38,-2.34
39,-2.43
40,-2.53
41,-2.6
42,-2.67
43,-2.71
44,-2.76
45,-2.59
46,-2.42
47,-2.61
48,-2.8
49,-3.06
50,-3.32
51,-3.78
52,-4.25
53,-4.52
54,-4.79
55,-4.7
56,-4.62
57,-4.55
58,-4.49
59,-4.12
60,-3.76
61,-3.45
62,-3.15
63,-3.15
64,-3.14
65,-3.19
66,-3.24
67,-3.2
68,-3.17
69,-3.18
70,-3.19
71,-3.38
72,-3.57
73,-3.35
74,-3.14
75,-3.26
76,-3.38
77,-3.7
78,-4.03
79,-4.15
80,-4.28
81,-4.12
82,-3.97
83,-4.17
84,-4.37
85,-4.46
86,-4.55
87,-4.48
88,-4.4
89,-4.44
90,-4.48
91,-4.69
92,-4.89
93,-5.12
94,-5.35
95,-5.24
96,-5.13
97,-5.23
98,-5.32
99,-5.19
100,-5.19
101,-5.08
102,-4.96
103,-4.72
104,-4.1
105,-3.35
106,-2.51
107,-2.25
108,-1.96
109,-0.98
110,-0.62
111,-0.61
112,-0.47
113,-0.48
114,-0.45
115,-0.34
116,-0.27
117,-0.19
118,-0.02
119,-0.07
120,2.73
121,9.82
122,8.32
123,7.64
124,7.15
125,6.75
126,6.41
127,6.12
128,5.84
129,5.59
130,5.33
131,5.09
132,4.86
133,4.65
134,4.46
135,4.29
136,4.14
137,4.0
138,3.88
139,3.78
140,3.71
141,3.65
142,3.61
143,3.57
144,3.54
145,3.51
146,3.48
147,3.45
148,3.42
149,3.39
150,3.36
151,3.32
152,3.28
153,3.25
154,3.21
155,3.18
156,3.15
157,3.12
158,3.08
159,3.05
160,3.0
161,2.96
162,2.91
163,2.87
164,2.83
165,2.79
166,2.76
167,2.74
168,2.71
169,2.68
170,2.65
171,2.62
172,2.58
173,2.54
174,2.51
175,2.5
176,2.51
177,2.54
178,2.59
179,2.65
180,2.69
181,2.73
182,2.75
183,2.77
184,2.8
185,2.84
186,2.89
187,2.93
188,2.96
189,2.98
190,2.97
191,2.95
192,2.91
193,2.87
194,2.82
195,2.78
196,2.74
