year,value
1950,-0.124032
1951,-0.178586
1952,-0.207037
1953,-0.200373
1954,-0.161023
1955,-0.151525
1956,-0.1503
1957,-0.117671
1958,-0.0975101
1959,-0.131058
1960,-0.104517
1961,-0.0971035
1962,-0.0938696
1963,-0.243906
1964,-0.390414
1965,-0.31639
1966,-0.189498
1967,-0.214562
1968,-0.236637
1969,-0.216986
1970,-0.248647
1971,-0.238033
1972,-0.230976
1973,-0.147657
1974,-0.14127
1975,-0.169318
1976,-0.153991
1977,-0.147897
1978,-0.11844
1979,-0.147955
1980,-0.0973388
1981,-0.0362484
1982,-0.0291281
1983,-0.169363
1984,-0.109523
1985,-0.0413109
1986,0.000796618
1987,0.0445941
1988,0.0801077
1989,0.119802
1990,0.208401
1991,0.181581
1992,-0.147022
1993,-0.085518
1994,0.0836295
1995,0.103351
1996,0.156679
1997,0.272947
1998,0.260263
1999,0.313488
2000,0.38535
2001,0.426621
2002,0.409935
2003,0.44123
2004,0.501493
2005,0.53514
2006,0.464132
2007,0.456195
2008,0.563706
2009,0.646145
2010,0.646305
2011,0.587621
2012,0.648194
2013,0.726398
2014,0.708115
2015,0.642396
2016,0.677479
2017,0.790754
2018,0.793636
2019,0.829642
2020,0.931141
2021,0.878649
2022,0.911145
2023,0.925273
2024,1.01846
2025,1.0743
2026,1.11051
2027,1.04173
2028,1.0807
2029,1.07744
2030,1.13053
2031,1.19333
2032,1.13299
2033,1.16162
2034,1.2781
2035,1.3224
2036,1.27177
2037,1.31553
2038,1.30956
2039,1.3115
2040,1.29802
2041,1.30152
2042,1.27708
2043,1.25648
2044,1.31153
2045,1.39064
2046,1.35394
2047,1.36206
2048,1.37874
2049,1.24693
2050,1.2794
2051,1.33426
2052,1.31903
2053,1.26966
2054,1.2765
2055,1.24232
2056,1.25222
2057,1.26293
2058,1.27542
2059,1.34152
2060,1.25552
2061,1.26243
2062,1.30818
2063,1.29992
2064,1.24423
2065,1.18121
2066,1.22281
2067,1.31932
2068,1.30952
2069,1.27432
2070,1.22416
2071,1.23345
2072,1.16088
2073,1.20066
2074,1.21233
2075,1.17945
2076,1.24355
2077,1.25336
2078,1.23223
2079,1.2439
2080,1.24965
2081,1.19125
2082,1.2271
2083,1.26418
2084,1.24948
2085,1.13146
2086,1.16794
2087,1.18756
2088,1.12361
2089,1.11214
2090,1.17123
2091,1.20818
2092,1.11181
2093,1.0779
2094,1.14847
2095,1.15339
2096,1.10309
2097,0.999126
2098,1.02225
2099,1.08302
2100,1.16242
