year,value
1950,-0.379441
1951,-0.213973
1952,-0.137465
1953,-0.0751884
1954,-0.269569
1955,-0.350129
1956,-0.415985
1957,-0.188154
1958,-0.170452
1959,-0.200824
1960,-0.268306
1961,-0.172816
1962,-0.216874
1963,-0.189625
1964,-0.458686
1965,-0.357207
1966,-0.301704
1967,-0.270335
1968,-0.321451
1969,-0.184186
1970,-0.237926
1971,-0.358752
1972,-0.246646
1973,-0.102886
1974,-0.325356
1975,-0.263573
1976,-0.368681
1977,-0.0497306
1978,-0.147563
1979,-0.061961
1980,0.043253
1981,0.0971929
1982,-0.118556
1983,0.0710195
1984,-0.104814
1985,-0.103089
1986,-0.0571321
1987,0.0902073
1988,0.129333
1989,0.0264312
1990,0.207743
1991,0.186077
1992,-0.0279223
1993,0.0128394
1994,0.0807307
1995,0.224047
1996,0.12387
1997,0.269489
1998,0.424497
1999,0.171666
2000,0.178266
2001,0.336461
2002,0.390647
2003,0.391351
2004,0.314552
2005,0.454043
2006,0.419734
2007,0.438882
2008,0.312831
2009,0.443963
2010,0.527552
2011,0.384879
2012,0.424788
2013,0.470756
2014,0.520053
2015,0.672295
2016,0.780108
2017,0.692355
2018,0.609835
2019,0.738254
2020,0.769975
2021,0.85699
2022,0.930005
2023,0.964047
2024,0.989838
2025,1.00721
2026,1.04291
2027,1.07185
2028,1.09012
2029,1.14296
2030,1.12299
2031,1.16835
2032,1.21064
2033,1.24502
2034,1.25553
2035,1.25647
2036,1.32639
2037,1.38112
2038,1.41439
2039,1.42243
2040,1.43519
2041,1.45931
2042,1.49111
2043,1.50678
2044,1.52052
2045,1.55811
2046,1.63175
2047,1.668
2048,1.72892
2049,1.7296
2050,1.70076
2051,1.76667
2052,1.8086
2053,1.80821
2054,1.81706
2055,1.86334
2056,1.86706
2057,1.93518
2058,1.96453
2059,2.00014
2060,2.01409
2061,1.98806
2062,2.01643
2063,2.06541
2064,2.07627
2065,2.09157
2066,2.10976
2067,2.12772
2068,2.17179
2069,2.20697
2070,2.20698
2071,2.23896
2072,2.26656
2073,2.30259
2074,2.28902
2075,2.29716
2076,2.33579
2077,2.37623
2078,2.38861
2079,2.39071
2080,2.39639
2081,2.43465
2082,2.47744
2083,2.48971
2084,2.48444
2085,2.51117
2086,2.53793
2087,2.54391
2088,2.54418
2089,2.55751
2090,2.57389
2091,2.609
2092,2.62168
2093,2.65438
2094,2.66036
2095,2.68369
2096,2.67689
2097,2.64429
2098,2.65393
2099,2.68085
2100,2.70421
